번호	스타일명(한글)	스타일명(영문)	스타일_참고사진 (구글시트 수식)	벽지명	바닥재명	난이도	벽지시공_추천날씨	바닥시공_추천날씨	날씨별_시공유의사항
1	모던	Modern	=IMAGE("https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?w=200")	LX 실크벽지 테라피 슈가화이트	KCC 2.2T 마블 장판	보통	봄/가을 (습도 40-60%)	사계절 가능	장마철 고습도 환경 시 실크벽지 이음매 들뜸 주의, 동절기 장판 시공 시 난방 사전 가동 필수
2	미니멀	Minimal	=IMAGE("https://images.unsplash.com/photo-1513694203232-719a280e022f?w=200")	신한 실크벽지 에센스 무몰딩화이트	동화자연마루 그란데 사하라 광폭마루	어려움	봄/가을 (습도 40-60%)	동절기 피함 권장	무몰딩 마감은 벽면 평탄화 작업이 필수적이므로 습기가 많은 날 퍼티 건조 지연 주의
3	북유럽	Scandinavian	=IMAGE("https://images.unsplash.com/photo-1598928506311-c55ded91a20c?w=200")	개나리 벽지 아트북 소프트밀크	구정마루 오크 클래식 강마루	보통	사계절 가능	봄/가을 추천	강마루 접착제는 영하 온도에서 경화 불량 발생 가능, 겨울철 시공 시 실내 온도 15도 이상 유지
4	인더스트리얼	Industrial	=IMAGE("https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?w=200")	삼화 빈티지 콘크리트 질감 페인트	노출 콘크리트 에폭시 라이닝 라이트그레이	어려움	봄/여름 추천	장마철 불가능	에폭시 라이닝은 습도 80% 이상 시 기포 발생 및 백화 현상 치명적, 비 오는 날 시공 절대 불가
5	내추럴	Natural	=IMAGE("https://images.unsplash.com/photo-1540518614846-7eded433c457?w=200")	LX 실크벽지 지아프레쉬 아이보리	노바 원목마루 내추럴 오크	보통	봄/가을 추천	겨울철 절대주의	원목마루는 기후에 따른 수축팽창이 가장 심함. 여름철엔 무리하게 밀착 시공 시 겨울에 뜸 발생
6	클래식	Classic	=IMAGE("https://images.unsplash.com/photo-1583847268964-b28dc8f51f92?w=200")	신한 벽지 리빙 클래식 다마스크 패턴	구정 프렌치 헤링본 마루 오크	어려움	봄/가을 추천	사계절 가능	웨인스코팅 목공 작업 시 겨울철 건조로 인한 목재 비틀림 주의, 실내 온습도 일정하게 유지 필요
7	럭셔리	Luxury	=IMAGE("https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=200")	수입 직물 실크벽지 골드펄 화이트	천연 대리석 비앙코 카라라 판재	매우어려움	봄/가을 추천	겨울철 피함 권장	천연대리석 에폭시 본드는 저온에서 접착력 저하, 겨울철 난방 미가동 상태서 시공 시 탈락 위험
8	다크 모던	Dark Modern	=IMAGE("https://images.unsplash.com/photo-1507089947368-19c1da9775ae?w=200")	LX 실크벽지 테라피 미드나잇차콜	구정마루 프리미엄 리얼 다크월넛	보통	봄/가을 (습도 40-60%)	사계절 가능	어두운 톤의 마루는 겨울철 수축 시 틈새가 더 도드라져 보일 수 있으므로 시공 시 자재 순응 필수
9	재팬디	Japandi	=IMAGE("https://images.unsplash.com/photo-1616486338812-3dadae4b4ace?w=200")	신한 벽지 스케치 린넨 베이지	동화자연마루 나투스진 내추럴 애쉬	보통	봄/가을 추천	사계절 가능	천연 원목 간살 및 마루 자재는 장마철 습기를 먹고 팽창하므로 숨구멍(신축줄눈) 확보 필수
10	빈티지	Vintage	=IMAGE("https://images.unsplash.com/photo-1513519245088-0e12902e5a38?w=200")	개나리 벽지 스타일 플라워 레트로	티크 고재 스타일 원목마루	보통	봄/가을 추천	겨울철 피함 권장	고재 스타일 마루 및 황동 자재는 겨울철 실내외 극심한 온도차로 인한 결로 노출 시 변색 위험
